Zip,Population,County,State,WiredCount_2020,Fwcount_2020,BroadbandProviderCount,AllProviderCount_2020,Wired25_3_2020,Wired100_3_2020,All25_3_2020,All100_3,TestCount,AverageMbps,FastestAverageMbps,Access to Terrestrial Broadband,Lowest Priced Terrestrial Broadband Plan
15074,8874.00,Beaver,Pennsylvania,5,0,5,11,3,3,5,4,1254,26.94,73.98,1.00,50
16115,3287.00,Beaver,Pennsylvania,6,1,7,13,4,3,6,4,1642,77.8,159.05,0.95,79.99
15534,932.00,Bedford,Pennsylvania,2,0,2,7,1,1,3,1,,,,0.24,54.95
15539,498.00,Bedford,Pennsylvania,2,0,2,7,2,1,4,1,,,,0.99,54.95
16667,1392.00,Bedford,Pennsylvania,2,0,2,7,2,1,4,1,,,,0.80,39.99
16670,47.00,Bedford,Pennsylvania,2,0,2,7,1,1,3,1,,,,0.28,39.99
16679,844.00,Bedford,Pennsylvania,3,0,3,8,1,1,3,1,,,,0.93,54.95
17211,368.00,Bedford,Pennsylvania,3,0,3,7,1,1,3,1,,,,0.01,79.99
15521,1872.00,Bedford,Pennsylvania,2,1,3,8,2,1,5,1,98,139.8,323.92,0.72,79.99
15522,12036.00,Bedford,Pennsylvania,4,0,4,9,3,2,5,2,7356,214.46,350.24,0.83,39.99
15533,1370.00,Bedford,Pennsylvania,3,0,3,8,1,1,3,1,4,13.93,13.96,0.37,79.99
15535,2203.00,Bedford,Pennsylvania,3,0,3,8,3,2,5,2,52,14.52,17.63,0.33,39.99
15537,7952.00,Bedford,Pennsylvania,4,0,4,9,2,1,4,1,2208,75.24,206.35,0.72,79.99
15545,2879.00,Bedford,Pennsylvania,4,0,4,9,3,2,5,2,16,24.62,73.58,0.84,39.99
15550,1699.00,Bedford,Pennsylvania,2,0,2,7,2,1,4,1,16,3.22,9.62,0.74,79.99
15554,2553.00,Bedford,Pennsylvania,3,0,3,8,3,2,5,2,768,63.76,195.64,0.83,39.99
